report_year,state,city_town,so2_annual_avg,no2_annual_avg,pm10_annual_avg,pm25_annual_avg
2023,Kerala,Kannur,7,12,68,35
2023,Kerala,Kochi,16,9,75,34
2023,Kerala,Kollam,6,11,73,34
2023,Kerala,Kozhikode,5,6,46,
2023,Kerala,Mallappuram,2,14,31,24
2023,Kerala,Palakkad,2,5,49,
2023,Kerala,Pathanamthitta,2,5,30,
2023,Kerala,Thiruvanantapuram,5,10,42,23
2023,Kerala,Thrissur,4,10,73,37
2023,Kerala,Wayanad,2,5,40,
2023,Madhya Pradesh,Amlai,12,14,67,24
2023,Madhya Pradesh,Bhopal,13,22,111,47
2023,Madhya Pradesh,Chindwara,4,16,74,31
2023,Madhya Pradesh,Damoh,,6,40,16
2023,Madhya Pradesh,Dewas,20,15,99,41
2023,Madhya Pradesh,Gwalior,20,22,139,66
2023,Madhya Pradesh,Indore,13,38,107,43
2023,Madhya Pradesh,Jabalpur,8,24,103,40
2023,Madhya Pradesh,Katni,12,29,127,45
2023,Madhya Pradesh,Maihar,10,11,50,25
2023,Madhya Pradesh,Mandideep,29,36,122,44
2023,Madhya Pradesh,Ratlam,17,32,100,40
2023,Madhya Pradesh,Sagar,5,13,73,29
2023,Madhya Pradesh,Satna,5,17,104,27
2023,Madhya Pradesh,Singrauli,34,56,143,54
2023,Madhya Pradesh,Ujjain,9,14,92,47
2023,Maharashtra,Ahmednagar,11,31,96,34
2023,Maharashtra,Akola,11,15,76,46
2023,Maharashtra,Amravati,12,15,79,38
2023,Maharashtra,Aurangabad,14,27,107,51
2023,Maharashtra,Badlapur,15,38,143,45
2023,Maharashtra,Belapur,3,23,81,30
2023,Maharashtra,Bhiwandi,22,39,81,50
2023,Maharashtra,Boisar,18,15,97,50
2023,Maharashtra,Chandrapur,14,22,106,51
2023,Maharashtra,Dhule,10,12,105,48
2023,Maharashtra,Dombivali / Kalyan,19,42,133,41
2023,Maharashtra,Jalgaon,11,21,88,48
2023,Maharashtra,Jalna,7,37,91,38
2023,Maharashtra,Latur,7,15,58,35
2023,Maharashtra,Mahad,26,21,76,38
2023,Maharashtra,Malegao,7,11,105,36
2023,Maharashtra,Mira Bhayander,5,17,97,46
2023,Maharashtra,Mumbai,18,29,108,47
2023,Maharashtra,Nagpur,13,31,94,52
2023,Maharashtra,Nanded,16,30,75,34
2023,Maharashtra,Nashik,5,20,68,38
2023,Maharashtra,Navi Mumbai,19,49,106,59
2023,Maharashtra,Parbhani,20,17,87,39
2023,Maharashtra,Pimpri Chinchwad,11,47,93,49
2023,Maharashtra,Pune,40,54,99,52
2023,Maharashtra,Roha,,14,97,
2023,Maharashtra,Sangli,8,30,73,31
2023,Maharashtra,Solapur,22,29,96,37
